,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
221,Mercedes-Benz,EQA 350 4MATIC,160,66.5,Lithium-ion,520.0,162,350,6.0,100.0,CCS,1800.0,340,5,AWD,JC - Medium,SUV,410.4938271604938,17.28395061728395,5.2631578947368425,0.9876543209876543,26.666666666666668,Mesatar,1.5037593984962405,2.9612085769980507,2,1,1.0,1
222,Mercedes-Benz,EQB 250+,160,70.5,Lithium-ion,385.0,152,415,8.9,90.0,CCS,1400.0,495,7,FWD,JC - Medium,SUV,463.8157894736842,11.762840837032341,5.886524822695035,1.0526315789473684,17.977528089887638,Mesatar,1.2765957446808511,3.281523795144088,2,2,1.0,1
223,Mercedes-Benz,EQB 300 4MATIC,160,66.5,Lithium-ion,390.0,168,345,8.0,100.0,CCS,1700.0,495,7,AWD,JC - Medium,SUV,395.8333333333333,14.734299516908205,5.18796992481203,0.9523809523809523,20.0,Mesatar,1.5037593984962405,2.9046992481203007,2,1,1.0,1
224,Mercedes-Benz,EQB 350 4MATIC,160,66.5,Lithium-ion,520.0,168,345,6.2,100.0,CCS,1700.0,495,7,AWD,JC - Medium,SUV,395.8333333333333,14.734299516908205,5.18796992481203,0.9523809523809523,25.806451612903224,Mesatar,1.5037593984962405,2.9119573126364298,2,1,1.0,1
225,Mercedes-Benz,EQE 300,210,89.0,Lithium-ion,550.0,163,525,7.3,120.0,CCS,750.0,430,5,RWD,E - Executive,Sedan,546.0122699386503,4.0023371311714895,5.898876404494382,1.2883435582822085,28.767123287671232,Gjatë,1.348314606741573,3.3633385300058265,3,3,1.0,1
226,Mercedes-Benz,EQE 350 4MATIC,210,90.6,Lithium-ion,765.0,173,515,6.3,141.0,CCS,1700.0,430,5,AWD,E - Executive,Sedan,523.6994219653179,1.689208148605422,5.684326710816777,1.2138728323699421,33.333333333333336,Gjatë,1.556291390728477,3.238071236865403,3,3,1.0,1
227,Mercedes-Benz,EQE 350+,210,96.0,Lithium-ion,565.0,164,555,6.5,141.0,CCS,750.0,430,5,RWD,E - Executive,Sedan,585.3658536585366,5.471324983520106,5.78125,1.2804878048780488,32.30769230769231,Gjatë,1.46875,3.3055405722326454,3,3,1.0,1
228,Mercedes-Benz,EQE 500 4MATIC,210,90.6,Lithium-ion,858.0,173,505,4.7,141.0,CCS,1700.0,430,5,AWD,E - Executive,Sedan,523.6994219653179,3.7028558347164204,5.5739514348785875,1.2138728323699421,44.680851063829785,Gjatë,1.556291390728477,3.193690758639638,3,3,1.0,1
229,Mercedes-Benz,EQE AMG 43 4MATIC,210,90.6,Lithium-ion,858.0,207,450,4.2,141.0,CCS,1700.0,430,5,AWD,E - Executive,Sedan,437.6811594202899,2.7375201288244724,4.966887417218543,1.0144927536231885,50.0,Mesatar,1.556291390728477,2.8354105823152755,3,2,1.0,1
230,Mercedes-Benz,EQE AMG 53 4MATIC+,220,90.6,Lithium-ion,950.0,208,450,3.5,141.0,CCS,1700.0,430,5,AWD,E - Executive,Sedan,435.5769230769231,3.2051282051282013,4.966887417218543,1.0576923076923077,62.857142857142854,Mesatar,1.556291390728477,2.8578942580598206,3,2,1.0,1
